codigo;nome;periodo;carga;submercado
6;BARRA 6;9;2.941176471;1
7;BARRA 7;9;2.941176471;1
8;BARRA 8;9;2.941176471;1
9;BARRA 9;9;2.941176471;1
10;BARRA 10;9;2.941176471;1
11;BARRA 11;9;0;1
12;BARRA 12;9;0;1
13;BARRA 13;9;2.941176471;1
14;BARRA 14;9;2.941176471;1
15;BARRA 15;9;2.941176471;1
16;BARRA 16;9;2.941176471;1
17;BARRA 17;9;0;1
18;BARRA 18;9;2.941176471;1
19;BARRA 19;9;2.941176471;1
20;BARRA 20;9;2.941176471;1
21;BARRA 21;9;0;1
22;BARRA 22;9;0;1
23;BARRA 23;9;0;1
24;BARRA 24;9;0;1
1;BARRA 1;10;2.941176471;1
2;BARRA 2;10;2.941176471;1
3;BARRA 3;10;2.941176471;1
4;BARRA 4;10;2.941176471;1
5;BARRA 5;10;2.941176471;1
6;BARRA 6;10;2.941176471;1
7;BARRA 7;10;2.941176471;1
8;BARRA 8;10;2.941176471;1
9;BARRA 9;10;2.941176471;1
10;BARRA 10;10;2.941176471;1
11;BARRA 11;10;0;1
12;BARRA 12;10;0;1
13;BARRA 13;10;2.941176471;1
14;BARRA 14;10;2.941176471;1
15;BARRA 15;10;2.941176471;1
16;BARRA 16;10;2.941176471;1
17;BARRA 17;10;0;1
18;BARRA 18;10;2.941176471;1
19;BARRA 19;10;2.941176471;1
20;BARRA 20;10;2.941176471;1
21;BARRA 21;10;0;1
22;BARRA 22;10;0;1
23;BARRA 23;10;0;1
24;BARRA 24;10;0;1
1;BARRA 1;11;2.941176471;1
2;BARRA 2;11;2.941176471;1
3;BARRA 3;11;2.941176471;1
4;BARRA 4;11;2.941176471;1
5;BARRA 5;11;2.941176471;1
6;BARRA 6;11;2.941176471;1
7;BARRA 7;11;2.941176471;1
8;BARRA 8;11;2.941176471;1
9;BARRA 9;11;2.941176471;1
10;BARRA 10;11;2.941176471;1
11;BARRA 11;11;0;1
12;BARRA 12;11;0;1
13;BARRA 13;11;2.941176471;1
14;BARRA 14;11;2.941176471;1
15;BARRA 15;11;2.941176471;1
16;BARRA 16;11;2.941176471;1
17;BARRA 17;11;0;1
18;BARRA 18;11;2.941176471;1
19;BARRA 19;11;2.941176471;1
20;BARRA 20;11;2.941176471;1
21;BARRA 21;11;0;1
22;BARRA 22;11;0;1
23;BARRA 23;11;0;1
24;BARRA 24;11;0;1
1;BARRA 1;12;2.941176471;1
2;BARRA 2;12;2.941176471;1
3;BARRA 3;12;2.941176471;1
4;BARRA 4;12;2.941176471;1
5;BARRA 5;12;2.941176471;1
6;BARRA 6;12;2.941176471;1
7;BARRA 7;12;2.941176471;1
8;BARRA 8;12;2.941176471;1
9;BARRA 9;12;2.941176471;1
10;BARRA 10;12;2.941176471;1
11;BARRA 11;12;0;1
12;BARRA 12;12;0;1
13;BARRA 13;12;2.941176471;1
14;BARRA 14;12;2.941176471;1
15;BARRA 15;12;2.941176471;1
16;BARRA 16;12;2.941176471;1
17;BARRA 17;12;0;1
18;BARRA 18;12;2.941176471;1
19;BARRA 19;12;2.941176471;1
20;BARRA 20;12;2.941176471;1
21;BARRA 21;12;0;1
22;BARRA 22;12;0;1
23;BARRA 23;12;0;1
24;BARRA 24;12;0;1
1;BARRA 1;13;2.882352941;1
2;BARRA 2;13;2.882352941;1
3;BARRA 3;13;2.882352941;1
4;BARRA 4;13;2.882352941;1
5;BARRA 5;13;2.882352941;1
6;BARRA 6;13;2.882352941;1
7;BARRA 7;13;2.882352941;1
8;BARRA 8;13;2.882352941;1
9;BARRA 9;13;2.882352941;1
10;BARRA 10;13;2.882352941;1
11;BARRA 11;13;0;1
12;BARRA 12;13;0;1
13;BARRA 13;13;2.882352941;1
14;BARRA 14;13;2.882352941;1
15;BARRA 15;13;2.882352941;1
16;BARRA 16;13;2.882352941;1
17;BARRA 17;13;0;1
18;BARRA 18;13;2.882352941;1
19;BARRA 19;13;2.882352941;1
20;BARRA 20;13;2.882352941;1
21;BARRA 21;13;0;1
22;BARRA 22;13;0;1
23;BARRA 23;13;0;1
24;BARRA 24;13;0;1
1;BARRA 1;14;2.941176471;1
2;BARRA 2;14;2.941176471;1
3;BARRA 3;14;2.941176471;1
4;BARRA 4;14;2.941176471;1
5;BARRA 5;14;2.941176471;1
6;BARRA 6;14;2.941176471;1
7;BARRA 7;14;2.941176471;1
8;BARRA 8;14;2.941176471;1
9;BARRA 9;14;2.941176471;1
10;BARRA 10;14;2.941176471;1
11;BARRA 11;14;0;1
12;BARRA 12;14;0;1
13;BARRA 13;14;2.941176471;1
14;BARRA 14;14;2.941176471;1
15;BARRA 15;14;2.941176471;1
16;BARRA 16;14;2.941176471;1
17;BARRA 17;14;0;1
18;BARRA 18;14;2.941176471;1
19;BARRA 19;14;2.941176471;1
20;BARRA 20;14;2.941176471;1
21;BARRA 21;14;0;1
22;BARRA 22;14;0;1
23;BARRA 23;14;0;1
24;BARRA 24;14;0;1
1;BARRA 1;15;3;1
2;BARRA 2;15;3;1
3;BARRA 3;15;3;1
4;BARRA 4;15;3;1
5;BARRA 5;15;3;1
6;BARRA 6;15;3;1
7;BARRA 7;15;3;1
8;BARRA 8;15;3;1
9;BARRA 9;15;3;1
10;BARRA 10;15;3;1
11;BARRA 11;15;0;1
12;BARRA 12;15;0;1
13;BARRA 13;15;3;1
14;BARRA 14;15;3;1
15;BARRA 15;15;3;1
16;BARRA 16;15;3;1
17;BARRA 17;15;0;1
18;BARRA 18;15;3;1
19;BARRA 19;15;3;1
20;BARRA 20;15;3;1
21;BARRA 21;15;0;1
22;BARRA 22;15;0;1
23;BARRA 23;15;0;1
24;BARRA 24;15;0;1
1;BARRA 1;16;3.117647059;1
2;BARRA 2;16;3.117647059;1
3;BARRA 3;16;3.117647059;1
4;BARRA 4;16;3.117647059;1
5;BARRA 5;16;3.117647059;1
6;BARRA 6;16;3.117647059;1
7;BARRA 7;16;3.117647059;1
8;BARRA 8;16;3.117647059;1
9;BARRA 9;16;3.117647059;1
10;BARRA 10;16;3.117647059;1
11;BARRA 11;16;0;1
12;BARRA 12;16;0;1
13;BARRA 13;16;3.117647059;1
14;BARRA 14;16;3.117647059;1
15;BARRA 15;16;3.117647059;1
16;BARRA 16;16;3.117647059;1
17;BARRA 17;16;0;1
18;BARRA 18;16;3.117647059;1
19;BARRA 19;16;3.117647059;1
20;BARRA 20;16;3.117647059;1
21;BARRA 21;16;0;1
22;BARRA 22;16;0;1
23;BARRA 23;16;0;1
24;BARRA 24;16;0;1
1;BARRA 1;17;3.176470588;1
2;BARRA 2;17;3.176470588;1
3;BARRA 3;17;3.176470588;1
4;BARRA 4;17;3.176470588;1
5;BARRA 5;17;3.176470588;1
6;BARRA 6;17;3.176470588;1
7;BARRA 7;17;3.176470588;1
8;BARRA 8;17;3.176470588;1
9;BARRA 9;17;3.176470588;1
10;BARRA 10;17;3.176470588;1
11;BARRA 11;17;0;1
12;BARRA 12;17;0;1
13;BARRA 13;17;3.176470588;1
14;BARRA 14;17;3.176470588;1
15;BARRA 15;17;3.176470588;1
16;BARRA 16;17;3.176470588;1
17;BARRA 17;17;0;1
18;BARRA 18;17;3.176470588;1
19;BARRA 19;17;3.176470588;1
20;BARRA 20;17;3.176470588;1
21;BARRA 21;17;0;1
22;BARRA 22;17;0;1
23;BARRA 23;17;0;1
24;BARRA 24;17;0;1
1;BARRA 1;18;3.235294118;1
2;BARRA 2;18;3.235294118;1
3;BARRA 3;18;3.235294118;1
4;BARRA 4;18;3.235294118;1
5;BARRA 5;18;3.235294118;1
6;BARRA 6;18;3.235294118;1
7;BARRA 7;18;3.235294118;1
8;BARRA 8;18;3.235294118;1
9;BARRA 9;18;3.235294118;1
10;BARRA 10;18;3.235294118;1
11;BARRA 11;18;0;1
12;BARRA 12;18;0;1
13;BARRA 13;18;3.235294118;1
14;BARRA 14;18;3.235294118;1
15;BARRA 15;18;3.235294118;1
16;BARRA 16;18;3.235294118;1
17;BARRA 17;18;0;1
18;BARRA 18;18;3.235294118;1
19;BARRA 19;18;3.235294118;1
20;BARRA 20;18;3.235294118;1
21;BARRA 21;18;0;1
22;BARRA 22;18;0;1
23;BARRA 23;18;0;1
24;BARRA 24;18;0;1
1;BARRA 1;19;3.470588235;1
2;BARRA 2;19;3.470588235;1
3;BARRA 3;19;3.470588235;1
4;BARRA 4;19;3.470588235;1
5;BARRA 5;19;3.470588235;1
6;BARRA 6;19;3.470588235;1
7;BARRA 7;19;3.470588235;1
8;BARRA 8;19;3.470588235;1
9;BARRA 9;19;3.470588235;1
10;BARRA 10;19;3.470588235;1
11;BARRA 11;19;0;1
12;BARRA 12;19;0;1
13;BARRA 13;19;3.470588235;1
14;BARRA 14;19;3.470588235;1
15;BARRA 15;19;3.470588235;1
16;BARRA 16;19;3.470588235;1
17;BARRA 17;19;0;1
18;BARRA 18;19;3.470588235;1
19;BARRA 19;19;3.470588235;1
20;BARRA 20;19;3.470588235;1
21;BARRA 21;19;0;1
22;BARRA 22;19;0;1
23;BARRA 23;19;0;1
24;BARRA 24;19;0;1
1;BARRA 1;20;3.470588235;1
2;BARRA 2;20;3.470588235;1
3;BARRA 3;20;3.470588235;1
4;BARRA 4;20;3.470588235;1
5;BARRA 5;20;3.470588235;1
6;BARRA 6;20;3.470588235;1
7;BARRA 7;20;3.470588235;1
8;BARRA 8;20;3.470588235;1
9;BARRA 9;20;3.470588235;1
10;BARRA 10;20;3.470588235;1
11;BARRA 11;20;0;1
12;BARRA 12;20;0;1
13;BARRA 13;20;3.470588235;1
14;BARRA 14;20;3.470588235;1
15;BARRA 15;20;3.470588235;1
16;BARRA 16;20;3.470588235;1
17;BARRA 17;20;0;1
18;BARRA 18;20;3.470588235;1
19;BARRA 19;20;3.470588235;1
20;BARRA 20;20;3.470588235;1
21;BARRA 21;20;0;1
22;BARRA 22;20;0;1
23;BARRA 23;20;0;1
24;BARRA 24;20;0;1
1;BARRA 1;21;3.411764706;1
2;BARRA 2;21;3.411764706;1
3;BARRA 3;21;3.411764706;1
4;BARRA 4;21;3.411764706;1
5;BARRA 5;21;3.411764706;1
6;BARRA 6;21;3.411764706;1
7;BARRA 7;21;3.411764706;1
8;BARRA 8;21;3.411764706;1
9;BARRA 9;21;3.411764706;1
10;BARRA 10;21;3.411764706;1
11;BARRA 11;21;0;1
12;BARRA 12;21;0;1
13;BARRA 13;21;3.411764706;1
14;BARRA 14;21;3.411764706;1
15;BARRA 15;21;3.411764706;1
16;BARRA 16;21;3.411764706;1
17;BARRA 17;21;0;1
18;BARRA 18;21;3.411764706;1
19;BARRA 19;21;3.411764706;1
20;BARRA 20;21;3.411764706;1
21;BARRA 21;21;0;1
22;BARRA 22;21;0;1
23;BARRA 23;21;0;1
24;BARRA 24;21;0;1
1;BARRA 1;22;3.294117647;1
2;BARRA 2;22;3.294117647;1
3;BARRA 3;22;3.294117647;1
4;BARRA 4;22;3.294117647;1
5;BARRA 5;22;3.294117647;1
6;BARRA 6;22;3.294117647;1
7;BARRA 7;22;3.294117647;1
8;BARRA 8;22;3.294117647;1
9;BARRA 9;22;3.294117647;1
10;BARRA 10;22;3.294117647;1
11;BARRA 11;22;0;1
12;BARRA 12;22;0;1
13;BARRA 13;22;3.294117647;1
14;BARRA 14;22;3.294117647;1
15;BARRA 15;22;3.294117647;1
16;BARRA 16;22;3.294117647;1
17;BARRA 17;22;0;1
18;BARRA 18;22;3.294117647;1
19;BARRA 19;22;3.294117647;1
20;BARRA 20;22;3.294117647;1
21;BARRA 21;22;0;1
22;BARRA 22;22;0;1
23;BARRA 23;22;0;1
24;BARRA 24;22;0;1
1;BARRA 1;23;3.117647059;1
2;BARRA 2;23;3.117647059;1
3;BARRA 3;23;3.117647059;1
4;BARRA 4;23;3.117647059;1
5;BARRA 5;23;3.117647059;1
6;BARRA 6;23;3.117647059;1
7;BARRA 7;23;3.117647059;1
8;BARRA 8;23;3.117647059;1
9;BARRA 9;23;3.117647059;1
10;BARRA 10;23;3.117647059;1
11;BARRA 11;23;0;1
12;BARRA 12;23;0;1
13;BARRA 13;23;3.117647059;1
14;BARRA 14;23;3.117647059;1
15;BARRA 15;23;3.117647059;1
16;BARRA 16;23;3.117647059;1
17;BARRA 17;23;0;1
18;BARRA 18;23;3.117647059;1
19;BARRA 19;23;3.117647059;1
20;BARRA 20;23;3.117647059;1
21;BARRA 21;23;0;1
22;BARRA 22;23;0;1
23;BARRA 23;23;0;1
24;BARRA 24;23;0;1
1;BARRA 1;24;2.882352941;1
2;BARRA 2;24;2.882352941;1
3;BARRA 3;24;2.882352941;1
4;BARRA 4;24;2.882352941;1
5;BARRA 5;24;2.882352941;1
6;BARRA 6;24;2.882352941;1
7;BARRA 7;24;2.882352941;1
8;BARRA 8;24;2.882352941;1
9;BARRA 9;24;2.882352941;1
10;BARRA 10;24;2.882352941;1
11;BARRA 11;24;0;1
12;BARRA 12;24;0;1
13;BARRA 13;24;2.882352941;1
14;BARRA 14;24;2.882352941;1
15;BARRA 15;24;2.882352941;1
16;BARRA 16;24;2.882352941;1
17;BARRA 17;24;0;1
18;BARRA 18;24;2.882352941;1
19;BARRA 19;24;2.882352941;1
20;BARRA 20;24;2.882352941;1
21;BARRA 21;24;0;1
22;BARRA 22;24;0;1
23;BARRA 23;24;0;1
24;BARRA 24;24;0;1
1;BARRA 1;25;2.764705882;1
2;BARRA 2;25;2.764705882;1
3;BARRA 3;25;2.764705882;1
4;BARRA 4;25;2.764705882;1
5;BARRA 5;25;2.764705882;1
6;BARRA 6;25;2.764705882;1
7;BARRA 7;25;2.764705882;1
8;BARRA 8;25;2.764705882;1
9;BARRA 9;25;2.764705882;1
10;BARRA 10;25;2.764705882;1
11;BARRA 11;25;0;1
12;BARRA 12;25;0;1
13;BARRA 13;25;2.764705882;1
14;BARRA 14;25;2.764705882;1
15;BARRA 15;25;2.764705882;1
16;BARRA 16;25;2.764705882;1
17;BARRA 17;25;0;1
18;BARRA 18;25;2.764705882;1
19;BARRA 19;25;2.764705882;1
20;BARRA 20;25;2.764705882;1
21;BARRA 21;25;0;1
22;BARRA 22;25;0;1
23;BARRA 23;25;0;1
24;BARRA 24;25;0;1
1;BARRA 1;26;2.588235294;1
2;BARRA 2;26;2.588235294;1
3;BARRA 3;26;2.588235294;1
4;BARRA 4;26;2.588235294;1
5;BARRA 5;26;2.588235294;1
6;BARRA 6;26;2.588235294;1
7;BARRA 7;26;2.588235294;1
8;BARRA 8;26;2.588235294;1
9;BARRA 9;26;2.588235294;1
10;BARRA 10;26;2.588235294;1
11;BARRA 11;26;0;1
12;BARRA 12;26;0;1
13;BARRA 13;26;2.588235294;1
14;BARRA 14;26;2.588235294;1
15;BARRA 15;26;2.588235294;1
16;BARRA 16;26;2.588235294;1
17;BARRA 17;26;0;1
18;BARRA 18;26;2.588235294;1
19;BARRA 19;26;2.588235294;1
20;BARRA 20;26;2.588235294;1
21;BARRA 21;26;0;1
22;BARRA 22;26;0;1
23;BARRA 23;26;0;1
24;BARRA 24;26;0;1
1;BARRA 1;27;2.529411765;1
2;BARRA 2;27;2.529411765;1
3;BARRA 3;27;2.529411765;1
4;BARRA 4;27;2.529411765;1
5;BARRA 5;27;2.529411765;1
6;BARRA 6;27;2.529411765;1
7;BARRA 7;27;2.529411765;1
8;BARRA 8;27;2.529411765;1
9;BARRA 9;27;2.529411765;1
10;BARRA 10;27;2.529411765;1
11;BARRA 11;27;0;1
12;BARRA 12;27;0;1
13;BARRA 13;27;2.529411765;1
14;BARRA 14;27;2.529411765;1
15;BARRA 15;27;2.529411765;1
16;BARRA 16;27;2.529411765;1
17;BARRA 17;27;0;1
18;BARRA 18;27;2.529411765;1
19;BARRA 19;27;2.529411765;1
20;BARRA 20;27;2.529411765;1
21;BARRA 21;27;0;1
22;BARRA 22;27;0;1
23;BARRA 23;27;0;1
24;BARRA 24;27;0;1
1;BARRA 1;28;2.470588235;1
2;BARRA 2;28;2.470588235;1
3;BARRA 3;28;2.470588235;1
4;BARRA 4;28;2.470588235;1
5;BARRA 5;28;2.470588235;1
6;BARRA 6;28;2.470588235;1
7;BARRA 7;28;2.470588235;1
8;BARRA 8;28;2.470588235;1
9;BARRA 9;28;2.470588235;1
10;BARRA 10;28;2.470588235;1
11;BARRA 11;28;0;1
12;BARRA 12;28;0;1
13;BARRA 13;28;2.470588235;1
14;BARRA 14;28;2.470588235;1
15;BARRA 15;28;2.470588235;1
16;BARRA 16;28;2.470588235;1
17;BARRA 17;28;0;1
18;BARRA 18;28;2.470588235;1
19;BARRA 19;28;2.470588235;1
20;BARRA 20;28;2.470588235;1
21;BARRA 21;28;0;1
22;BARRA 22;28;0;1
23;BARRA 23;28;0;1
24;BARRA 24;28;0;1
1;BARRA 1;29;2.529411765;1
2;BARRA 2;29;2.529411765;1
3;BARRA 3;29;2.529411765;1
4;BARRA 4;29;2.529411765;1
5;BARRA 5;29;2.529411765;1
6;BARRA 6;29;2.529411765;1
7;BARRA 7;29;2.529411765;1
8;BARRA 8;29;2.529411765;1
9;BARRA 9;29;2.529411765;1
10;BARRA 10;29;2.529411765;1
11;BARRA 11;29;0;1
12;BARRA 12;29;0;1
13;BARRA 13;29;2.529411765;1
14;BARRA 14;29;2.529411765;1
15;BARRA 15;29;2.529411765;1
16;BARRA 16;29;2.529411765;1
17;BARRA 17;29;0;1
18;BARRA 18;29;2.529411765;1
19;BARRA 19;29;2.529411765;1
20;BARRA 20;29;2.529411765;1
21;BARRA 21;29;0;1
22;BARRA 22;29;0;1
23;BARRA 23;29;0;1
24;BARRA 24;29;0;1
1;BARRA 1;30;2.647058824;1
2;BARRA 2;30;2.647058824;1
3;BARRA 3;30;2.647058824;1
4;BARRA 4;30;2.647058824;1
5;BARRA 5;30;2.647058824;1
6;BARRA 6;30;2.647058824;1
7;BARRA 7;30;2.647058824;1
8;BARRA 8;30;2.647058824;1
9;BARRA 9;30;2.647058824;1
10;BARRA 10;30;2.647058824;1
11;BARRA 11;30;0;1
12;BARRA 12;30;0;1
13;BARRA 13;30;2.647058824;1
14;BARRA 14;30;2.647058824;1
15;BARRA 15;30;2.647058824;1
16;BARRA 16;30;2.647058824;1
17;BARRA 17;30;0;1
18;BARRA 18;30;2.647058824;1
19;BARRA 19;30;2.647058824;1
20;BARRA 20;30;2.647058824;1
21;BARRA 21;30;0;1
22;BARRA 22;30;0;1
23;BARRA 23;30;0;1
24;BARRA 24;30;0;1
1;BARRA 1;31;2.764705882;1
2;BARRA 2;31;2.764705882;1
3;BARRA 3;31;2.764705882;1
4;BARRA 4;31;2.764705882;1
5;BARRA 5;31;2.764705882;1
6;BARRA 6;31;2.764705882;1
7;BARRA 7;31;2.764705882;1
8;BARRA 8;31;2.764705882;1
9;BARRA 9;31;2.764705882;1
10;BARRA 10;31;2.764705882;1
11;BARRA 11;31;0;1
12;BARRA 12;31;0;1
13;BARRA 13;31;2.764705882;1
14;BARRA 14;31;2.764705882;1
15;BARRA 15;31;2.764705882;1
16;BARRA 16;31;2.764705882;1
17;BARRA 17;31;0;1
18;BARRA 18;31;2.764705882;1
19;BARRA 19;31;2.764705882;1
20;BARRA 20;31;2.764705882;1
21;BARRA 21;31;0;1
22;BARRA 22;31;0;1
23;BARRA 23;31;0;1
24;BARRA 24;31;0;1
1;BARRA 1;32;2.882352941;1
2;BARRA 2;32;2.882352941;1
3;BARRA 3;32;2.882352941;1
4;BARRA 4;32;2.882352941;1
5;BARRA 5;32;2.882352941;1
6;BARRA 6;32;2.882352941;1
7;BARRA 7;32;2.882352941;1
8;BARRA 8;32;2.882352941;1
9;BARRA 9;32;2.882352941;1
10;BARRA 10;32;2.882352941;1
11;BARRA 11;32;0;1
12;BARRA 12;32;0;1
13;BARRA 13;32;2.882352941;1
14;BARRA 14;32;2.882352941;1
15;BARRA 15;32;2.882352941;1
16;BARRA 16;32;2.882352941;1
17;BARRA 17;32;0;1
18;BARRA 18;32;2.882352941;1
19;BARRA 19;32;2.882352941;1
20;BARRA 20;32;2.882352941;1
21;BARRA 21;32;0;1
22;BARRA 22;32;0;1
23;BARRA 23;32;0;1
24;BARRA 24;32;0;1
1;BARRA 1;33;2.941176471;1
2;BARRA 2;33;2.941176471;1
3;BARRA 3;33;2.941176471;1
4;BARRA 4;33;2.941176471;1
5;BARRA 5;33;2.941176471;1
6;BARRA 6;33;2.941176471;1
7;BARRA 7;33;2.941176471;1
8;BARRA 8;33;2.941176471;1
9;BARRA 9;33;2.941176471;1
10;BARRA 10;33;2.941176471;1
11;BARRA 11;33;0;1
12;BARRA 12;33;0;1
13;BARRA 13;33;2.941176471;1
14;BARRA 14;33;2.941176471;1
15;BARRA 15;33;2.941176471;1
16;BARRA 16;33;2.941176471;1
17;BARRA 17;33;0;1
18;BARRA 18;33;2.941176471;1
